ID,Updated,Confirmed,Deaths,Recovered,Country_Region
7174960,2020-03-13,1.0,0.0,0.0,Kenya
7174964,2020-03-15,1.0,0.0,0.0,Kenya
7174965,2020-03-16,3.0,0.0,0.0,Kenya
7174966,2020-03-17,3.0,0.0,0.0,Kenya
7174980,2020-03-18,7.0,0.0,0.0,Kenya
7174981,2020-03-19,7.0,0.0,0.0,Kenya
7174983,2020-03-20,7.0,0.0,0.0,Kenya
7174985,2020-03-21,7.0,0.0,0.0,Kenya
7174986,2020-03-22,15.0,0.0,0.0,Kenya
7174988,2020-03-23,16.0,0.0,0.0,Kenya
7174990,2020-03-24,25.0,0.0,0.0,Kenya
7174992,2020-03-25,28.0,0.0,1.0,Kenya
7174993,2020-03-26,31.0,1.0,1.0,Kenya
7174995,2020-03-27,31.0,1.0,1.0,Kenya
7174997,2020-03-28,38.0,1.0,1.0,Kenya
7174999,2020-03-29,42.0,1.0,1.0,Kenya
7175001,2020-03-30,50.0,1.0,1.0,Kenya
7175003,2020-03-31,59.0,1.0,1.0,Kenya
7175006,2020-04-01,81.0,1.0,3.0,Kenya
7175007,2020-04-02,110.0,3.0,4.0,Kenya
7175010,2020-04-03,122.0,3.0,4.0,Kenya
7175012,2020-04-04,126.0,3.0,4.0,Kenya
7175013,2020-04-05,142.0,6.0,4.0,Kenya
7175015,2020-04-06,158.0,6.0,4.0,Kenya
7175017,2020-04-07,172.0,6.0,7.0,Kenya
7175018,2020-04-08,179.0,6.0,7.0,Kenya
7175020,2020-04-09,184.0,7.0,9.0,Kenya
7175022,2020-04-10,189.0,7.0,22.0,Kenya
7175024,2020-04-11,191.0,7.0,22.0,Kenya
7175026,2020-04-12,197.0,8.0,22.0,Kenya
7175028,2020-04-13,208.0,9.0,40.0,Kenya
7175029,2020-04-14,225.0,9.0,41.0,Kenya
5483429,2020-04-15,229.0,10.0,53.0,Kenya
7175031,2020-04-16,234.0,11.0,53.0,Kenya
7175033,2020-04-17,246.0,11.0,53.0,Kenya
7175035,2020-04-18,262.0,13.0,60.0,Kenya
7175037,2020-04-19,270.0,14.0,67.0,Kenya
7175039,2020-04-20,281.0,14.0,69.0,Kenya
7175042,2020-04-21,296.0,14.0,74.0,Kenya
7175044,2020-04-22,303.0,14.0,83.0,Kenya
7427774,2020-04-23,320.0,14.0,89.0,Kenya
7784636,2020-04-24,336.0,14.0,95.0,Kenya
8266933,2020-04-25,343.0,14.0,95.0,Kenya
8266936,2020-04-26,355.0,14.0,106.0,Kenya
8266937,2020-04-27,363.0,14.0,114.0,Kenya
8266938,2020-04-28,374.0,14.0,124.0,Kenya
8266939,2020-04-29,384.0,15.0,129.0,Kenya
8266940,2020-04-30,396.0,17.0,144.0,Kenya
8266941,2020-05-01,411.0,21.0,150.0,Kenya
11726628,2020-05-02,438.0,22.0,150.0,Kenya
11726629,2020-05-03,465.0,24.0,167.0,Kenya
12627328,2020-05-04,490.0,24.0,173.0,Kenya
12729354,2020-05-05,535.0,24.0,182.0,Kenya
13576197,2020-05-06,581.0,26.0,190.0,Kenya
13576199,2020-05-07,607.0,29.0,197.0,Kenya
14492069,2020-05-08,621.0,29.0,202.0,Kenya
14847004,2020-05-09,649.0,30.0,207.0,Kenya
14847006,2020-05-10,672.0,32.0,239.0,Kenya
15347837,2020-05-11,700.0,34.0,251.0,Kenya
16063406,2020-05-12,715.0,36.0,259.0,Kenya
16063408,2020-05-13,737.0,40.0,281.0,Kenya
16063410,2020-05-14,758.0,42.0,284.0,Kenya
17318284,2020-05-15,781.0,45.0,284.0,Kenya
